Name of Organization,EIN,Classification,Nonprofit Tax Code Designation: 501(c)(3),FISCAL YEAR,Total Revenue,Total Functional Expenses,Net Income
NORTHERN WESTCHESTER HOSPITAL CENTER FOUNDATION INC,13-4067064,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,11431378.0,1735862.0,9695516.0
GOTTSEGWN FAMILY FOUNDATION DTD 06-22-99,13-4067123,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1095589.0,178467.0,
NOEL AND HARRIETTE LEVINE FOUNDATION INC,13-4074336,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,753804.0,2642123.0,
UNION COMMUNITY HEALTH CENTER INC,13-4074478,"Mental Health Treatment - Multipurpose and N.E.C. (Mental Health, Crisis Intervention)",Yes,2020.0,40776561.0,40482773.0,293788.0
COALITION OF NEW YORK STATE,13-4076596,"Alzheimer's Disease (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,4632052.0,4659140.0,
LEGACY HERITAGE FUND LIMITED,13-4077801,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2273639.0,1248564.0,
JLRJ INC,13-4077806,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3770144.0,1116694.0,
IIMI INC,13-4077817,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3429547.0,1760405.0,
MRHM INC,13-4077880,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3788108.0,1852532.0,
LMCL INC,13-4077883,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3188499.0,621527.0,
REPRODUCTIVE HEALTH ACCESS PROJECT INC,13-4079983,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,1349284.0,1464005.0,
D J MCMANUS FOUNDATION INC,13-4080144,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2981346.0,1288708.0,
RIPPLE FOUNDATION,13-4081347,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1122979.0,561882.0,
PAESTUM FOUNDATION INC,13-4082016,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1694114.0,2175050.0,
MAHER FAMILY FOUNDATION,13-4082818,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,604496.0,346225.0,
RAYMOND AND BEVERLY SACKLER FUND FOR THE ARTS AND SCIENCES,13-4085037,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1979483.0,276961.0,
BAYER FAMILY FUND INC,13-4085263,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,4438292.0,1459074.0,
THE CUSHMAN FOUNDATION,13-4086187,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,753129.0,574202.0,
ESMOND NISSIM FOUNDATION INC,13-4086914,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,4630947.0,1782180.0,
DAVID A DECHMAN FOUNDATION,13-4087830,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,2618230.0,1407824.0,
ELLEN AND ANDREW G CELLI FOUNDATION INC,13-4087933,"Private Grantmaking Foundations (T2) (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,638520.0,197342.0,
DAVID FAMILY FOUNDATION INC,13-4088264,"Fund Raising and/or Fund Distribution (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1789524.0,623235.0,
JACQUES AND MARGOT KOHN FOUNDATION INC,13-4088271,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1482394.0,18350.0,
DDS FOUNDATION,13-4089802,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3273440.0,2678751.0,
JOHN AND MARGO CATSIMATIDIS FOUNDATION INC,13-4090349,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1845010.0,1794359.0,
ABBY AND DAVID COHEN FAMILY FOUNDATION,13-4090442,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,1540250.0,240120.0,
IRENE RITTER FOUNDATION,13-4090839,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,893651.0,492774.0,
STARNET EMERGENCY SERVICES INC,13-4091675,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2020.0,10627806.0,10186001.0,441805.0
KAYE FAMILY FOUNDATION,13-4092284,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,27422901.0,4864664.0,
A WOODNER FUND INC,13-4092338,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1185000.0,927175.0,
SOLOMON WILSON FAMILY FOUNDATION INC,13-4092426,"Corporate Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2674793.0,1362304.0,
BLOCK FAMILY FOUNDATION,13-4092442,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,716419.0,771579.0,
KLEIN FAMILY FOUNDATION,13-4092608,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,928384.0,385576.0,
NANCY AND GEORGE WALKER FOUNDATION,13-4092798,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,629570.0,286715.0,
ROBERT & NANCY ELLIN FAMILY FOUNDATION,13-4092847,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,569109.0,97969.0,
BETH AND IRA LEVENTHAL FOUNDATION,13-4092955,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,913118.0,104905.0,
TREETOPS FOUNDATION,13-4093466,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1366592.0,2062101.0,
WESTCHESTER MEDICAL CENTER FOUNDATION INC,13-4095845,Single Organization Support (Health — General and Rehabilitative),Yes,2020.0,5481284.0,3249621.0,2231663.0
TIFFANY & CO FOUNDATION,13-4096178,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,12177308.0,3998250.0,
PHILIPPE AND DEBORAH DAUMAN FOUNDATION,13-4097014,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1296558.0,1401721.0,
PROJECT PERICLES INC,13-4097541,"Private Operating Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,559639.0,528178.0,31461.0
SILVERLEAF FOUNDATION INC,13-4097906,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,678214.0,351080.0,
EBA FOUNDATION,13-4098940,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,960781.0,654002.0,
PENNSYLVANIA INSTITUTE FOR COMMUNITY LIVING INC,13-4101319,"Group Home, Residential Treatment Facility - Mental Health Related (Mental Health, Crisis Intervention)",Yes,2020.0,848254.0,844369.0,3885.0
GROSEVNOR FOUNDATION INC,13-4104304,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1199114.0,178857.0,
DEMOS A NETWORK FOR IDEAS AND ACTION LTD,13-4105066,"Research Institutes and/or Public Policy Analysis (Public, Society Benefit — Multipurpose and Other)",Yes,2021.0,14383024.0,12345620.0,2037404.0
WMC-NEW YORK INC,13-4107864,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2020.0,140248899.0,139813709.0,435190.0
WESTCHESTER-ELLENVILLE HOSPITAL INC,13-4111638,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2020.0,25532237.0,22117613.0,3414624.0
ROCKLAND 21ST CENTURY COLLABORATIVE FOR CHILDREN AND YOUTH INC,13-4111979,Research Institutes and/or Public Policy Analysis (Educational Institutions and Related Activities),Yes,2020.0,728411.0,719570.0,8841.0
THE FASHION FOOTWEAR CHARITABLE FOUNDATION OF NEW YORK INC,13-4112482,Fund Raising and/or Fund Distribution (Health — General and Rehabilitative),Yes,2020.0,2030146.0,2113514.0,
PANNONIA FOUNDATION,13-4112882,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2020104.0,882904.0,
STRUGGLE TO SAVE ETHIOPIAN JEWRY INC,13-4113620,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1519098.0,1293620.0,225478.0
T F DIXON FAMILY FOUNDATION INC,13-4118192,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,719789.0,310936.0,
LAZAR AND SOFIA STEIN MEMORIAL FOUNDATION,13-4119091,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,677342.0,859413.0,
BRIGHT HORIZON FOUNDATION,13-4121003,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,10360403.0,6013501.0,
1870 CROTONA AVENUE HOUSING DEVELOPMENT FUND CORPORATION,13-4124140,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,587386.0,598139.0,
GLOBAL ALLIANCE FOR TB DRUG DEVELOPMENT INC,13-4128413,Specifically Named Diseases Research (Medical Research),Yes,2020.0,61267452.0,61720389.0,
THE JED FOUNDATION,13-4131139,"Hot Line, Crisis Intervention Services (Mental Health, Crisis Intervention)",Yes,2020.0,10420940.0,8511897.0,1909043.0
GRACE FOUNDATION OF NEW YORK,13-4131863,"Autism (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,1967975.0,1920794.0,47181.0
NEW YORK PHYSICIANS FOUNDATION INC,13-4137126,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,894836.0,86313.0,
HEREDITARY NEUROPATHY FOUNDATION INC,13-4137654,Fund Raising and/or Fund Distribution (Medical Research),Yes,2021.0,637088.0,679388.0,
SATO FAMILY FOUNDATION INC,13-4140924,"Corporate Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,581407.0,667541.0,
MICHAEL J FOX FOUNDATION FOR PARKINSONS RESEARCH,13-4141945,Brain Disorders Research (Medical Research),Yes,2020.0,202285896.0,172205904.0,30079992.0
ARC HEALTHRESOURCES OF ROCKLAND INC,13-4142322,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,1429835.0,2021944.0,
BURCH FAMILY FOUNDATION,13-4144134,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,5017949.0,3523202.0,
ELIZABETH AND STANLEY D SCOTT FOUNDATION INC,13-4144166,"Corporate Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,688083.0,417389.0,
JOSEPH F STEIN FAMILY FOUNDATION INC,13-4144648,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1490588.0,902357.0,
HARRY AND MISOOK DOOLITTLE FOUNDATION,13-4145966,"Corporate Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,726410.0,62600.0,
ANDREW R HEYER AND MINDY B HEYER FOUNDATION,13-4146979,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1225125.0,345075.0,
LESLIE PETER FOUNDATION,13-4147292,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,832406.0,365233.0,
THE KILTS FAMILY FOUNDATION,13-4147482,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,881669.0,2822849.0,
ASSOCIATION OF VOLUNTEERS IN INTERNATIONAL SERVICE USA INC,13-4147973,"Research Institutes and/or Public Policy Analysis (International, Foreign Affairs and National Security)",Yes,2020.0,835602.0,955199.0,
[email protected] L AND SARAH MILLER COULSON FOUNDATION,13-4148044,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1226808.0,1742544.0,
BRIDGE OF ALLEN FOUNDATION,13-4148389,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1017484.0,1089546.0,
BIRTHRIGHT ISRAEL NORTH AMERICA INC,13-4148641,"Private Operating Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,5562653.0,5562653.0,
WARBURG PINCUS FOUNDATION,13-4148834,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,6600325.0,6671473.0,
DENIS P AND CAROL A KELLEHER CHARITABLE FOUNDATION,13-4149751,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,796925.0,472310.0,
ELYSABETH KLEINHANS THEATRICAL FOUNDATION INC,13-4149853,"Private Operating Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2484629.0,2249137.0,
GIRLS EDUCATIONAL AND MENTORING SERVICES INC,13-4150972,"Addictive Disorders N.E.C. (Mental Health, Crisis Intervention)",Yes,2020.0,3431910.0,3236300.0,195610.0
SHAPIRO-SILVERBERG FOUNDATION,13-4151366,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,842566.0,5999350.0,
WILLEM DE KOONING FOUNDATION,13-4151973,"Private Operating Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2664889.0,5708586.0,
HOLLIDAY FOUNDATION,13-4152690,"Corporate Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1207119.0,1250385.0,
AMIDA CARE INC,13-4154068,Group Health Practice (Health Maintenance Organizations) (Health — General and Rehabilitative),Yes,2020.0,443455873.0,446146294.0,
FOUNDATION FOR FREEDOM AND JUSTICE,13-4156644,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,700828.0,363361.0,
QUERCUS FUND INC,13-4156738,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,1479302.0,729084.0,
JAPAN ICU FOUNDATION INC,13-4158264,"Corporate Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,846705.0,924501.0,
STEVEN B SCHONFELD FOUNDATION,13-4166757,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,613608.0,1240724.0,
NORTH BRONX FACULTY PRACTICE CORPORATION,13-4169311,Health - General and Rehabilitative N.E.C.,Yes,2020.0,3751140.0,5064023.0,
SCOTT FAMILY FOUNDATION INC,13-4171575,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1745281.0,1319955.0,
E R G FOUNDATION,13-4171703,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2229913.0,657746.0,
R&T P FOUNDATION,13-4175476,"Corporate Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,1703934.0,1293246.0,
UNIVERSAL FORCE INC,13-4175517,Public Health Program (Includes General Health and Wellness Promotion Services) (Health — General and Rehabilitative),Yes,2020.0,582134.0,784473.0,
ONE MILLION YEARS FOUNDATION INC,13-4177993,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,6337445.0,874355.0,
SI BEHAVIORAL NETWORK INC,13-4182492,"Mental Health Association, Multipurpose (Mental Health, Crisis Intervention)",Yes,2020.0,4770020.0,4897098.0,
WILLIAM C BULLITT FOUNDATION INC,13-4183316,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1480079.0,1407962.0,
GBC HEALTH INC,13-4185520,AIDS Research (Medical Research),Yes,2020.0,1132634.0,1100808.0,31826.0
FIDEC INC,13-4186589,"Specifically Named Diseases (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,1065381.0,2740885.0,
PSYCHOTHERAPY & SPIRITUALITY INSTITUTE INC,13-4187902,"Philanthropy, Charity, Voluntarism Promotion, General (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1023411.0,974710.0,48701.0
THE PHFFOUNDATION INC,13-4192506,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1145945.0,448180.0,
HEARTS OF GOLD INC,13-4194879,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1121063.0,929864.0,191199.0
AMERICAN ARBITRATION ASSOCIATION- INTERNATIONAL CENTRE FOR DISPUTE,13-4197286,"Social Science Research Institutes, Services N.E.C.",Yes,2020.0,2837894.0,699652.0,2138242.0
SHARSHERET INC,13-4198529,"Fund Raising and/or Fund Distribution (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,4719716.0,3699916.0,1019800.0
AVANGRID FOUNDATION INC,13-4200689,"Corporate Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2851477.0,3663416.0,
MOODYS FOUNDATION,13-4200757,"Corporate Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,11024773.0,5442261.0,
TAILWINDS CHARITABLE FOUNDATION INC,13-4201151,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,7702178.0,225561.0,
MICHAEL J MUNGO FOUNDATION INC,13-4203429,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2450256.0,1891510.0,
CULP FAMILY FOUNDATION,13-4204919,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,764256.0,336752.0,
FAMILY HEALTH INITIATIVES INC,13-4205636,Fund Raising and/or Fund Distribution (Health — General and Rehabilitative),Yes,2020.0,2206271.0,2377604.0,
HEAVENLY HOOFS INC,13-4205662,Rehabilitative Medical Services (Health — General and Rehabilitative),Yes,2020.0,550710.0,475655.0,75055.0
WARREN AND ELAINE BRESLOW FAMILY FOUNDATION,13-4210209,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,806030.0,530012.0,
LOU AND CONNIE MILLER CHARITABLE FOUNDATION,13-4222602,"Corporate Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,518394.0,1130758.0,
WESTCHESTER ARC FOUNDATION INC,13-4223851,"Fund Raising and/or Fund Distribution (Mental Health, Crisis Intervention)",Yes,2020.0,2658568.0,1648909.0,1009659.0
UNITED STATES BONE AND JOINT INITIATIVE NFP,13-4223933,"Nerve, Muscle and Bone Diseases (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,699940.0,508123.0,191817.0
SHANNON AND ANDREW S PENSON FOUNDATION,13-4226290,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,6036356.0,4387060.0,
COMMUNITY HEALTH FREE CLINIC,13-4228071,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,5105781.0,5038141.0,67640.0
ROBERT E AND JENNY D KIRKLAND FOUNDATION,13-4228589,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,7555622.0,10059927.0,
EMILIO NARES FOUNDATION,13-4229276,"Fund Raising and/or Fund Distribution (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,1263821.0,1195477.0,68344.0
MISSION CLINICAL SERVICES,13-4239691,"Fund Raising and/or Fund Distribution (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,931903.0,1326676.0,
HEBREW HOME SINAI INC,13-4245879,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,15732479.0,14843768.0,888711.0
